Active,Catagory,Keyword,Bill Type,Last Pay Date,Due Date,Amount
false,Rent,,Month Set,,1,-966.39
true,XFinity,,Month Set,Sun Mar 30 2025 01:00:00 GMT-0400 (Eastern Daylight Time),2,-112.83
true,MPU (Electric Bill),,30 Day,Sun Mar 30 2025 01:00:00 GMT-0400 (Eastern Daylight Time),3,-61.91
true,Car Insurance,,Month Set,Fri Mar 07 2025 01:00:00 GMT-0500 (Eastern Standard Time),8,-112.57
true,Credit Cards,Lowes,Month Set,Mon Mar 10 2025 01:00:00 GMT-0400 (Eastern Daylight Time),13,-200
true,Planet Fitness,,Month Set,Mon Mar 17 2025 01:00:00 GMT-0400 (Eastern Daylight Time),17,-10
true,WPS (Gas Bill),,30 Day,Tue Mar 11 2025 01:00:00 GMT-0400 (Eastern Daylight Time),20,-47
true,Credit Cards,Mission Lane,Month Set,Mon Mar 10 2025 01:00:00 GMT-0400 (Eastern Daylight Time),24,-50
true,US Cellular,,30 Day,Fri Mar 07 2025 01:00:00 GMT-0500 (Eastern Standard Time),25,-92.78
true,Credit Cards,Amazon,Month Set,Mon Mar 10 2025 01:00:00 GMT-0400 (Eastern Daylight Time),25,-50
false,Credit Cards,Care Credit,Month Set,,25,0
true,Car Payment,,Month Set,Mon Mar 10 2025 01:00:00 GMT-0400 (Eastern Daylight Time),28,-471.27
false,Renter's Insurance,,Month Set,,,0
