,,,,,,,
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost
,false,Milk,A-23,Groceries,2,2.66,5.32
,true,Toilet Bowl Cleaner,J-11,Bathroom,1,5.18,5.439
,true,Hand Soap,G-16,Bathroom,2,2.47,5.187
,true,Toilet Paper,J-07,Bathroom,1,6.98,7.329000000000001
,false,Pop Tarts,A-08,Groceries,1,4.47,4.47
,false,Zebra Cakes,A-06,Groceries (Lunch),4,2.68,10.72
,false,Oreos,A-18,Groceries,1,4.58,4.58
,false,Soda,A-20,Groceries,4,3.88,15.52
,false,Pizza,A-04,Groceries,2,3.98,7.96
,false,Nutter Butters,A-18,Groceries,1,4.68,4.68
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,Hydroxizine,CVS,Medical,1,10,10
,false,Mission Lane Credit Card,,,1,-287.08,-287.08
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,false,,,,,0,0
,,Total Cost:,,,,,-205.875
,Remaining Balance:,,,,,,220.2249999999999
