Date,Amount,Description,Extra,,
Wed Jun 29 2022 01:00:00 GMT-0400 (Eastern Daylight Time),100,Cash Down/July Rent,,Total Rent Paid :,8950.000000000002
Fri Jul 01 2022 01:00:00 GMT-0400 (Eastern Daylight Time),795,Remaining July Rent,,Total Water Paid :,266.08
Fri Jul 15 2022 01:00:00 GMT-0400 (Eastern Daylight Time),671.25,1st Half August,1/4 Sec. Dep ($223.75),Security Deposit :,895
Mon Aug 01 2022 01:00:00 GMT-0400 (Eastern Daylight Time),671.25,2nd Half August,1/4 Sec. Dep ($223.75),,
Fri Aug 12 2022 01:00:00 GMT-0400 (Eastern Daylight Time),671.25,1st Half September,1/4 Sec. Dep ($223.75),,
Fri Aug 26 2022 01:00:00 GMT-0400 (Eastern Daylight Time),671.25,2nd Half September,1/4 Sec. Dep ($223.75),,
Fri Sep 09 2022 01:00:00 GMT-0400 (Eastern Daylight Time),477.38,1st Half October,July Water ($29.88),,
Mon Sep 26 2022 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,2nd Half October,Only Rent,,
Fri Oct 07 2022 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,1st Half November,Only Rent,,
Fri Oct 21 2022 01:00:00 GMT-0400 (Eastern Daylight Time),476.3,2nd Half November,August Water ($28.80),,
Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),482.31,1st Half December,September Water ($34.81),,
Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),447.5,2nd Half December,Only Rent,,
Fri Dec 02 2022 01:00:00 GMT-0500 (Eastern Standard Time),472.31,1st Half January,October Water ($24.81),,
Fri Dec 16 2022 01:00:00 GMT-0500 (Eastern Standard Time),447.5,2nd Half January,Only Rent,,
Tue Jan 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),42.62,Water Only,November Water ($42.62),,
Wed Jan 18 2023 01:00:00 GMT-0500 (Eastern Standard Time),0,,,,
Fri Jan 27 2023 01:00:00 GMT-0500 (Eastern Standard Time),923.1,February Rent,December Water ($28.10),,
Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),0,,,,
Fri Feb 24 2023 01:00:00 GMT-0500 (Eastern Standard Time),919.54,March Rent,January Water ($24.54),,
Fri Mar 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),,,,,
Fri Mar 24 2023 01:00:00 GMT-0400 (Eastern Daylight Time),947.52,April Rent,February Water ($52.52),,
Fri Apr 07 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,,,,
Fri Apr 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),895,May Rent,March Water,,
Fri May 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,1st Half June,Only Rent,,
Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,2nd Half June,April Water,,
Fri Jun 02 2023 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,1st Half July,Only Rent,,
Fri Jun 16 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,2nd Half July,May Water,,
End of 1 Year Lease,,,,,
Fri Jun 30 2023 01:00:00 GMT-0400 (Eastern Daylight Time),0,NOTHING,NOTHING,,
Fri Jul 14 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,1st Half August,June Water,,
Fri Jul 28 2023 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,2nd Half August,Only Rent,,
Fri Aug 11 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,1st Half September,July Water,,
Fri Aug 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,2nd Half September,Only Rent,,
Fri Sep 08 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,1st Half October,August Water,,
Fri Sep 22 2023 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,2nd Half October,Only Rent,,
Fri Oct 06 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,1st Half November,September Water,,
Fri Oct 20 2023 01:00:00 GMT-0400 (Eastern Daylight Time),447.5,2nd Half November,Only Rent,,
Fri Nov 03 2023 01:00:00 GMT-0400 (Eastern Daylight Time),,1st Half December,October Water,,
Fri Nov 17 2023 01:00:00 GMT-0500 (Eastern Standard Time),447.5,2nd Half December,Only Rent,,
Fri Dec 01 2023 01:00:00 GMT-0500 (Eastern Standard Time),,1st Half January,November Water,,
Fri Dec 15 2023 01:00:00 GMT-0500 (Eastern Standard Time),447.5,2nd Half January,Only Rent,,
Fri Dec 29 2023 01:00:00 GMT-0500 (Eastern Standard Time),,WATER ONLY,Water Only,,
