,,,,,,,,,,,,,,,,,
,,Rate,Hours,Earned,,Taxes,,%,,,Week 1,,,,,,
,Normal Time,18.03,80,1442.4,,Federal,159.05278300475223,0.06391812282157837,,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,Shift Premium,3,80,240,,Social Security,157.66468598943803,0.06336029193149914,,Date: ,Sun Mar 17 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 18 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Tue Mar 19 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 20 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Thu Mar 21 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Fri Mar 22 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Sat Mar 23 2024 01:00:00 GMT-0400 (Eastern Daylight Time)
,Overtime,30.045,32,961.44,,Medicare,36.88096653188982,0.01482125684335508,,Hours: ,11,11,12,12,12,11.5,0
,Total Earned :,,,2643.84,,WI State,88.6261386027692,0.035615952801308574,,Total Hours: ,11,22,34,46,58,69.5,69.5
,Taxable Income :,,,2488.3832,,Total Taxes,442.2245741288493,,,Total O.T.: ,29.5,,,,,,
,,,,,,,,,,,,,,,,,
,Tax Rate,,,,,Benefits,,,,,Week 2,,,,,,
,0.1777156243977412,,,,,Add Vision,3.35,,,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,,,,,,Flex,19.23,,,Date: ,Sun Mar 24 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 25 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Tue Mar 26 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 27 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Thu Mar 28 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Fri Mar 29 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Sat Mar 30 2024 01:00:00 GMT-0400 (Eastern Daylight Time)
,Take Home,,,,,Life & Disability,2,,,Hours: ,0,8.5,8.5,8.5,8.5,8.5,0
,2036.9686258711508,,,,,Seos 4000,75,,,Total Hours: ,69.5,78,86.5,95,103.5,112,112
,,,,,,Sing Dental,3,,,Total O.T.: ,2.5,,,,,,
,,,,,,401K,52.8768,,,,,,,,,,
,,,,,,Additional Life,9.19,,,,,,,,,,
,,,,,,Total Benefits,164.64679999999998,,,,,,,,,,
,,,,,,Non Tax Benefits,155.4568,,,,,,,,,,
,,,,,,Benefit %,0.0587996247881869,,,,,,,,,,
