Affirm Payoff Schedule / Phone Number to Call : 1-855-423-3729,,,,,,,,,,,,,,,,
,Payment,Date,Amount,Remaining,,,Payment,Date,Amount,Remaining,,,Affirm,Loan Code,Total Owed,Percentage
Wed Jan 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),WalMart 1,Fri Feb 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.35,1088.99,,Tue Apr 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri Apr 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,946.94,,,WalMart 1,40M4-D7QC,1136.34,0.349877764161807
,WalMart 2,Fri Feb 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.06,1082.28,,,WalMart 2-,Fri Apr 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,941.1000000000001,,,WalMart 2,3DXV-RNTY,1129.34,0.34772247230449965
,NewEgg,Fri Feb 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),23.61,543.04,,,NewEgg-,Fri Apr 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,472.2099999999999,,,NewEgg,4WY1-RWEJ,566.65,0.17447087584903104
,WalMart 3,Fri Feb 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),6.3,144.97,,,WalMart 3-,Fri Apr 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,126.06999999999998,,,WalMart 3,4BY2-JGPS,151.27,0.04657585703641212
,WalMart 4,Fri Feb 03 2023 01:00:00 GMT-0500 (Eastern Standard Time),11.01,253.21000000000004,,,WalMart 4-,Fri Apr 21 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,220.18000000000006,,,WalMart 4,QUNW-WR5S,264.22,0.08135303064825022
Sat Feb 25 2023 01:00:00 GMT-0500 (Eastern Standard Time),WalMart 1,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.35,1041.64,,Thu May 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri May 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,899.59,,,Total :,,3247.8199999999997,
,WalMart 2,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),47.06,1035.22,,,WalMart 2-,Fri May 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,894.0400000000002,,,Remaining :,,2977.168333333333,
,NewEgg,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),23.61,519.43,,,NewEgg-,Fri May 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,448.5999999999999,,,Paid :,,270.65166666666664,
,WalMart 3,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),6.3,138.67,,,WalMart 3-,Fri May 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,119.76999999999998,,,,,,
,WalMart 4,Fri Feb 10 2023 01:00:00 GMT-0500 (Eastern Standard Time),11.01,242.20000000000005,,,WalMart 4-,Fri May 05 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,209.17000000000007,,,Per Month,,Per Paycheck,
Skipped,Skipped,,,,,Sun Jun 25 2023 01:00:00 GMT-0400 (Eastern Daylight Time),WalMart 1-,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.35,852.24,,,94.695,,47.3475,
,,,,,,,WalMart 2-,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),47.06,846.9800000000002,,,94.11166666666666,,47.05583333333333,
,,,,,,,NewEgg-,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),23.61,424.9899999999999,,,47.220833333333324,,23.610416666666662,
,,,,,,,WalMart 3-,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),6.3,113.46999999999998,,,12.605833333333333,,6.3029166666666665,
,,,,,,,WalMart 4-,Fri May 19 2023 01:00:00 GMT-0400 (Eastern Daylight Time),11.01,198.16000000000008,,,22.018333333333334,,11.009166666666667,
