,Bills,Pay Date,Minimum Due,Remaining / Notes,Check Balance,Checking Balance
true,Paycheck MTM,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),1193.12,,1193.12,1197.4499999999998
true,Overtime,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),78.49,,1271.61,1275.9399999999998
true,Groceries,N/A,-218.62,,1052.9899999999998,1057.3199999999997
true,Cigarettes,N/A,-53.43,,999.5599999999998,1003.8899999999998
true,Gas,N/A,0,,999.5599999999998,1003.8899999999998
true,Entertainment,N/A,-20.490000000000002,,979.0699999999998,983.3999999999997
true,Medical,N/A,-5.25,,973.8199999999998,978.1499999999997
true,Maintenance,N/A,-155.70000000000002,,818.1199999999998,822.4499999999997
true,Vehicle,N/A,0,,818.1199999999998,822.4499999999997
true,Half Rent,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-482.31,Rent - 1st Half December + Water,335.8099999999998,340.1399999999997
true,Car Insurance,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-64.71,,271.0999999999998,275.4299999999997
true,US Cellular - Bill,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-104.39999999999999,Early Pay,166.69999999999982,171.02999999999975
true,US Cellular - Phone,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-46.66,Payment 23 / 30,120.03999999999982,124.36999999999975
true,Renter's Insurance,Fri Nov 04 2022 01:00:00 GMT-0400 (Eastern Daylight Time),-11.85,,108.18999999999983,112.51999999999975
true,Above Lending,Mon Nov 07 2022 01:00:00 GMT-0500 (Eastern Standard Time),-86.95,6511.74,21.239999999999824,25.56999999999975
true,Planet Fitness,Sun Nov 13 2022 01:00:00 GMT-0500 (Eastern Standard Time),-10,,11.239999999999824,15.569999999999752
true,Affirm (Walmart - $1336.14),Thu Nov 17 2022 01:00:00 GMT-0500 (Eastern Standard Time),-58.1,1278.0400000000002,-46.86000000000018,-42.53000000000025
true,Affirm (Walmart - $1328.18) ,Thu Nov 17 2022 01:00:00 GMT-0500 (Eastern Standard Time),-57.74,1270.44,-104.60000000000018,-100.27000000000025
true,Affirm (Walmart - $264.22),Thu Nov 17 2022 01:00:00 GMT-0500 (Eastern Standard Time),-29.36,234.86,-133.96000000000018,-129.63000000000025
true,Affirm (Walmart - $151.27),Thu Nov 17 2022 01:00:00 GMT-0500 (Eastern Standard Time),-16.81,134.46,-150.77000000000018,-146.44000000000025
,11/04/2022 - 11/17/2022,,,Extra Money Left Over : ,15.569999999999752,
true,Paycheck MTM,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),1208.58,,1208.58,1224.1499999999996
true,Overtime,Fri Nov 18 2022 01:00:00 GMT-0500 (Eastern Standard Time),0,,1208.58,1224.1499999999996
true,Groceries,N/A,-106.91,,1101.6699999999998,1117.2399999999996
true,Cigarettes,N/A,-77.19,,1024.4799999999998,1040.0499999999995
true,Gas,N/A,-32.8,,991.6799999999998,1007.2499999999995
true,Entertainment,N/A,-7.24,,984.4399999999998,1000.0099999999995
true,Medical,N/A,-30,,954.4399999999998,970.0099999999995
true,Maintenance,N/A,-23.430000000000003,,931.0099999999999,946.5799999999996
