,,,,,,,,,,,,
,Expences for Paycheck 12/01/2023,,,,,,,,,Catagory Totals,,
,CC,Expence,,,Date,Catagory,Cost,Total,,Groceries,137.55,
,false,Kwik Trip,,,Sat Dec 02 2023 01:00:00 GMT-0500 (Eastern Standard Time),Cigarettes,31.08,31.08,,Cigarettes,31.08,
,false,Kwik Trip,,,Sat Dec 02 2023 01:00:00 GMT-0500 (Eastern Standard Time),Gas,25.05,56.129999999999995,,Gas,25.05,
,false,Wal-Mart,,,Sat Dec 02 2023 01:00:00 GMT-0500 (Eastern Standard Time),Groceries,137.55,193.68,,Entertainment,0,
,false,,,,,,0,193.68,,Medical,0,
,false,,,,,,,,,Vehicle,0,
,false,,,,,,0,193.68,,Maintenance,0,
,false,,,,,,,,,Debt,0,
,false,,,,,,0,193.68,,Holiday Gifts,0,
,false,,,,,,0,193.68,,Haircut,0,
,false,,,,,,0,193.68,,,,
,false,,,,,,0,193.68,,Catagory,YTD,Average
,false,,,,,,0,193.68,,Groceries,359.77,14.990416666666667
,false,,,,,,0,193.68,,Cigarettes,175.39999999999998,7.308333333333333
,false,,,,,,,,,Gas,625.7099999999999,26.071249999999996
,false,,,,,,,,,Entertainment,350.6499999999999,14.610416666666664
,false,,,,,,0,193.68,,Medical,0,0
,false,,,,,,0,193.68,,Vehicle,0,0
,false,,,,,,0,193.68,,Maintenance,0,0
,false,,,,,,0,193.68,,Debt,0,0
,false,,,,,,0,193.68,,Holiday Gifts,0,0
,false,,,,,,0,193.68,,Haircut,174.49,7.270416666666667
,false,,,,,,0,193.68,,Paycheck Number,,24
,false,,,,,,0,193.68,,,,
,false,,,,,,0,193.68,,Mission Lane Credit Card Information ($500 Limit),,
,false,,,,,,0,193.68,,Last Payment / Amount,,0
,false,,,,,,0,193.68,,Used This Period,0,
,false,,,,,,0,193.68,,Available (Before / After),149.49,149.49
,,Expence Grand Total,,,,,193.68,,,Balance to Pay,,350.51
,,,,,,,,,,,,
,Shopping List,,,,,,,,,,,
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,,Total Cost (No Credit Card Use):,,,,,0,,,,,
,Remaining Balance (With Credit Card Use):,,,,,,-149.49,,,,,
,Remaining Balance:,,,,,,57.06000000000027,,,,,
