,,,,,,,,,,,,
,Expences for Paycheck 10/04/2024,,,,,,,,,Catagory Totals,,
,CC,Expence,,,Date,Catagory,Cost,Total,,Groceries,0,
,false,Arlo,,,Tue Oct 08 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Maintenance,12.99,12.99,,Cigarettes,26.02,
,false,Kwik-Trip,,,Sat Oct 05 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Cigarettes,26.02,39.01,,Gas,0,
,false,Git-Hub,,,Thu Oct 03 2024 01:00:00 GMT-0400 (Eastern Daylight Time),Entertainment,10,49.01,,Entertainment,10,
,false,,,,,,0,49.01,,Medical,0,
,false,,,,,,0,49.01,,Vehicle,0,
,false,,,,,,0,49.01,,Maintenance,12.99,
,false,,,,,,0,49.01,,Debt,0,
,false,,,,,,0,49.01,,Holiday Gifts,0,
,false,,,,,,0,49.01,,Haircut,0,
,false,,,,,,0,49.01,,Subscription - Video,0,
,false,,,,,,0,49.01,,Subscription - Game,0,
,false,,,,,,0,49.01,,,,
,false,,,,,,0,49.01,,Catagory,YTD,Average
,false,,,,,,0,49.01,,Groceries,-8764.92,-461.31157894736845
,false,,,,,,0,49.01,,Cigarettes,-2087.9800000000005,-109.89368421052635
,false,,,,,,0,49.01,,Gas,-824.07,-43.3721052631579
,false,,,,,,0,49.01,,Entertainment,-3788.9999999999986,-199.42105263157887
,false,,,,,,0,49.01,,Medical,-898.2700000000001,-47.277368421052635
,false,,,,,,0,49.01,,Vehicle,-551.06,-29.00315789473684
,false,,,,,,0,49.01,,Maintenance,-1743.2000000000003,-91.74736842105264
,false,,,,,,0,49.01,,Debt,-3654.8399999999983,-192.3599999999999
,false,,,,,,0,49.01,,Holiday Gifts,-26.73,-1.406842105263158
,false,,,,,,0,49.01,,Haircut,-166.23000000000002,-8.748947368421053
,false,,,,,,0,49.01,,Subscription - Video,-524.7099999999999,-27.61631578947368
,false,,,,,,0,49.01,,Subscription - Game,-137.10999999999999,-7.216315789473684
,false,,,,,,0,49.01,,Paycheck Number,,19
,false,,,,,,0,49.01,,,,
,false,,,,,,0,49.01,,Cash Summary,,
,false,,,,,,0,49.01,,Cash on Hand (At Beginning of Pay-Period),,0
,false,,,,,,0,49.01,,Cash on Hand (Now),,0
,,Expence Grand Total,,,,,49.01,,,Cash Spent,,0
,,,,,,,,,,Remaining from Paycheck,,#REF!
,Shopping List,,,,,,,,,,,
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost,,,Mission Lane Credit Card Information ($400 Limit),,
,false,,,,,0,0,,,Last Payment / Amount,,0
,false,,,,,0,0,,,Limit,3000,
,false,,,,,0,0,,,Used This Period,0,
,false,,,,,0,0,,,Available (Before / After),1177.89,1177.89
,false,,,,,0,0,,,Balance to Pay,,1822.11
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,Amazon Credit Card Information ($400 Limit),,
,false,,,,,0,0,,,Last Payment / Amount,,0
,false,,,,,0,0,,,Limit,2000,
,false,,,,,0,0,,,Used This Period,0,
,false,,,,,0,0,,,Available (Before / After),1197,1197
,false,,,,,0,0,,,Balance to Pay,,803
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,Total Credit Card Debt,,-2625.1099999999997
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,,Total Cost (No Credit Card Use):,,,,,0,,,,,
,Remaining Balance (With Credit Card Use):,,,,,,0,,,,,
,Remaining Balance:,,,,,,#REF!,,,Thu Oct 03 2024 01:00:00 GMT-0400 (Eastern Daylight Time),,
