,,,,,,,,,,,,
,Expences for 09/19/2025 - 10/02/2025,,,,,,,,,Catagory Totals,,
,CC,Expence,,,Date,Catagory,Cost,Total,,Groceries,0,
,false,Vending Machine Total,,,Fri Sep 19 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Groceries,0,0,,Cigarettes,0,
,false,MDG Payment,,,Fri Sep 19 2025 01:00:00 GMT-0400 (Eastern Daylight Time),Debt,0,0,,Gas,0,
,false,,,,,,0,0,,Entertainment,0,
,false,,,,,,0,0,,Medical,0,
,false,,,,,,0,0,,Vehicle,0,
,false,,,,,,0,0,,Maintenance,0,
,false,,,,,,0,0,,Debt,0,
,false,,,,,,0,0,,Holiday Gifts,0,
,false,,,,,,0,0,,Haircut,0,
,false,,,,,,0,0,,Subscription - Video,0,
,false,,,,,,0,0,,Subscription - Game,0,
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Catagory,YTD,Average
,false,,,,,,0,0,,Groceries,-3932.14,-206.95473684210526
,false,,,,,,0,0,,Cigarettes,-829.3299999999999,-43.64894736842105
,false,,,,,,0,0,,Gas,-372.21,-19.59
,false,,,,,,0,0,,Entertainment,-1280.95,-67.41842105263159
,false,,,,,,0,0,,Medical,-253.36,-13.334736842105263
,false,,,,,,0,0,,Vehicle,-190.47,-10.024736842105263
,false,,,,,,0,0,,Maintenance,-950.8399999999999,-50.04421052631579
,false,,,,,,0,0,,Debt,-1214.9700000000003,-63.94578947368422
,false,,,,,,0,0,,Holiday Gifts,0,0
,false,,,,,,0,0,,Haircut,-54,-2.8421052631578947
,false,,,,,,0,0,,Subscription - Video,-225.49000000000004,-11.867894736842107
,false,,,,,,0,0,,Subscription - Game,-26.38,-1.388421052631579
,false,,,,,,0,0,,Paycheck Number,,19
,false,,,,,,0,0,,,,
,false,,,,,,0,0,,Vending Machine Costs,,
,false,,,,,,0,0,,,,0
,false,,,,,,0,0,,,,0
,,Expence Grand Total,,,,,0,,,,,0
,,,,,,,,,,,,0
,Shopping List,,,,,,,,,,,0
,Tax,Item,Isle,Category,Amount,Cost of One,Total Cost,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,0
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,false,,,,,0,0,,,,,
,,Total Cost (No Credit Card Use):,,,,,0,,,,,
,Remaining Balance:,,,,,,1866.6000000000013,,,,,Sat Jun 21 2025 01:00:00 GMT-0400 (Eastern Daylight Time)
